category,id,center_name,university,image_file
"클라우드·보안·블록체인","142342_722177284","KAIST 빅데이터 엣지 클라우드 서비스 연구센터","KAIST","04-cloud-security-blockchain/142342_722177284.png"
"클라우드·보안·블록체인","142348_722177284","고려대학교 엣지클라우드 데이터보안 연구센터","고려대학교","04-cloud-security-blockchain/142348_722177284.png"
"클라우드·보안·블록체인","142353_722177284","부산대학교 제로트러스트 클라우드 보안 연구센터","부산대학교","04-cloud-security-blockchain/142353_722177284.png"
"클라우드·보안·블록체인","142358_722177284","경희대학교 클라우드 컨티뉴엄 연구센터","경희대학교","04-cloud-security-blockchain/142358_722177284.png"
"클라우드·보안·블록체인","14244_722177284","부산대학교 블록체인플랫폼 연구센터","부산대학교","04-cloud-security-blockchain/14244_722177284.png"
"클라우드·보안·블록체인","14249_722177284","GIST 블록체인지능융합센터","GIST","04-cloud-security-blockchain/14249_722177284.png"
"클라우드·보안·블록체인","142415_722177284","중앙대학교 데이터 프라이버시 연구센터","중앙대학교","04-cloud-security-blockchain/142415_722177284.png"
"클라우드·보안·블록체인","142429_722177284","성균관대학교 딥페이크 연구센터","성균관대학교","04-cloud-security-blockchain/142429_722177284.png"
"클라우드·보안·블록체인","142436_722177284","서강대학교 웹3.0 기술 연구센터","서강대학교","04-cloud-security-blockchain/142436_722177284.png"
"AI 플랫폼·서비스","15735_722177284","동의대학교 인공지능그랜드 ICT 연구센터","동의대학교","05-ai-platform-service/15735_722177284.png"
"AI 플랫폼·서비스","15740_722177284","배재대학교 스마트ICT융합 인재양성센터","배재대학교","05-ai-platform-service/15740_722177284.png"
"AI 플랫폼·서비스","15746_722177284","전남대학교 지능화혁신 G5-AICT 연구센터","전남대학교","05-ai-platform-service/15746_722177284.png"
"AI 플랫폼·서비스","15751_722177284","인하대학교 지역지능화ACE 연구센터","인하대학교","05-ai-platform-service/15751_722177284.png"
"AI 플랫폼·서비스","15758_722177284","호서대학교 충남지능화혁신 (CORE-AI)센터","호서대학교","05-ai-platform-service/15758_722177284.png"
"AI 플랫폼·서비스","1584_722177284","경남대학교 경남지능화혁신사업단","경남대학교","05-ai-platform-service/1584_722177284.png"
"AI 플랫폼·서비스","15811_722177284","전북대학교 전북RICE지능화혁신 연구센터","전북대학교","05-ai-platform-service/15811_722177284.png"
"AI 플랫폼·서비스","15819_722177284","중앙대학교 디지털 트윈 기반 스마트 에너지시티 산업 인프라 연구센터","중앙대학교","05-ai-platform-service/15819_722177284.png"
"실감형 SW·콘텐츠","101947_936024807","아주대학교 VR/AR 기반의 지능형 라이프컨설턴트 연구센터","아주대학교","06-immersive-sw-content/101947_936024807.png"
"실감형 SW·콘텐츠","101955_936024807","이화여자대학교 시뮬레이션 기반 융복합 콘텐츠 연구센터","이화여자대학교","06-immersive-sw-content/101955_936024807.png"
"실감형 SW·콘텐츠","10202_936024807","세종대학교 메타버스 자율트윈 연구센터","세종대학교","06-immersive-sw-content/10202_936024807.png"
"실감형 SW·콘텐츠","102012_936024807","세종대학교 초실감 XR 연구센터","세종대학교","06-immersive-sw-content/102012_936024807.png"
"실감형 SW·콘텐츠","102023_936024807","광운대학교 실감콘텐츠 단말 기술 연구센터","광운대학교","06-immersive-sw-content/102023_936024807.png"
"실감형 SW·콘텐츠","102034_936024807","고려대학교 스마트미디어 서비스 연구센터","고려대학교","06-immersive-sw-content/102034_936024807.png"
"실감형 SW·콘텐츠","102042_936024807","KAIST XR 워크스테이션 HCI 기술 연구센터","KAIST","06-immersive-sw-content/102042_936024807.png"
"차세대 통신·위성","105158_936024807","경희대학교 6H 차세대 이동통신기술 연구센터","경희대학교","07-next-comm-satellite/105158_936024807.png"
"차세대 통신·위성","10527_936024807","광운대학교 초공간 과업지향통신 연구센터","광운대학교","07-next-comm-satellite/10527_936024807.png"
"차세대 통신·위성","105214_936024807","한밭대학교 6G 무선통신 글로컬 연구센터","한밭대학교","07-next-comm-satellite/105214_936024807.png"
"차세대 통신·위성","105222_936024807","충남대학교 VIACOMM 연구센터","충남대학교","07-next-comm-satellite/105222_936024807.png"
"차세대 통신·위성","105229_936024807","KAIST 초지능 통신/컴퓨팅 융합 연구센터","KAIST","07-next-comm-satellite/105229_936024807.png"
"차세대 통신·위성","105239_936024807","중앙대학교 5G & 6G 차세대 통신 네트워크 연구센터","중앙대학교","07-next-comm-satellite/105239_936024807.png"
"차세대 통신·위성","105247_936024807","인천대학교 NS-위성 RTDC 기술 연구센터","인천대학교","07-next-comm-satellite/105247_936024807.png"
"차세대 통신·위성","105256_936024807","국립창원대학교 위성영상분석ICT 연구센터","국립창원대학교","07-next-comm-satellite/105256_936024807.png"
"차세대 통신·위성","10534_936024807","고려대학교 탄소중립 미래자율통신 연구센터","고려대학교","07-next-comm-satellite/10534_936024807.png"
"첨단 로봇·모빌리티","121038_936024807","금오공과대학교 초연결 기반 협력형 무인자율이동체 연구센터","금오공과대학교","08-robot-mobility/121038_936024807.png"
"첨단 로봇·모빌리티","121044_936024807","단국대학교 배리어프리 ICT기술 연구센터","단국대학교","08-robot-mobility/121044_936024807.png"
"첨단 로봇·모빌리티","121051_936024807","세종대학교 UAM-eVTOL 융합 연구센터","세종대학교","08-robot-mobility/121051_936024807.png"
"첨단 로봇·모빌리티","121058_936024807","서울대학교 3차원 모빌리티 통신 센터","서울대학교","08-robot-mobility/121058_936024807.png"
"첨단 로봇·모빌리티","12116_936024807","경북대학교 데이터 기반 지능형 모빌리티 연구센터","경북대학교","08-robot-mobility/12116_936024807.png"
"첨단 로봇·모빌리티","121112_936024807","충북대학교 산업인공지능 연구센터","충북대학교","08-robot-mobility/121112_936024807.png"
"첨단 로봇·모빌리티","121120_936024807","KAIST 지능통감융합 연구센터","KAIST","08-robot-mobility/121120_936024807.png"
"양자컴퓨팅·데이터센터","123943_936024807","세종대학교 양자정보과학기술 연구센터","세종대학교","09-quantum-datacenter/123943_936024807.png"
"양자컴퓨팅·데이터센터","123950_936024807","고려대학교 초신뢰양자인터넷 연구센터","고려대학교","09-quantum-datacenter/123950_936024807.png"
"양자컴퓨팅·데이터센터","123958_936024807","POSTECH 양자정보소자 인력양성 연구센터","POSTECH","09-quantum-datacenter/123958_936024807.png"
"양자컴퓨팅·데이터센터","12405_936024807","부산대학교 양자센서 인력양성센터","부산대학교","09-quantum-datacenter/12405_936024807.png"
"양자컴퓨팅·데이터센터","124013_936024807","UNIST 양자센싱 융합기술 연구센터","UNIST","09-quantum-datacenter/124013_936024807.png"
"양자컴퓨팅·데이터센터","124022_936024807","충북대학교 양자기술플랫폼 연구센터","충북대학교","09-quantum-datacenter/124022_936024807.png"
"양자컴퓨팅·데이터센터","124031_936024807","UNIST 하이퍼-컴포저블 데이터센터 연구센터","UNIST","09-quantum-datacenter/124031_936024807.png"
"ICT 산업융합","125551_936024807","중앙대학교 탄소중립 ESG ICT 연구센터","중앙대학교","10-ict-industry-convergence/125551_936024807.png"
"ICT 산업융합","125559_936024807","경북대학교 복합지능ICT 연구센터","경북대학교","10-ict-industry-convergence/125559_936024807.png"
"ICT 산업융합","12566_936024807","경북대학교 ICT융합 연구센터","경북대학교","10-ict-industry-convergence/12566_936024807.png"
"ICT 산업융합","125613_936024807","공주대학교 차세대 스마트팜 ICT 융합기술 연구센터","공주대학교","10-ict-industry-convergence/125613_936024807.png"
"ICT 산업융합","125628_936024807","순천대학교 저탄소 농업 기반 스마트 유통 연구센터","순천대학교","10-ict-industry-convergence/125628_936024807.png"
"ICT 산업융합","125637_936024807","금오공과대학교 스마트군수혁신 융합연구센터","금오공과대학교","10-ict-industry-convergence/125637_936024807.png"
"ICT 산업융합","125646_936024807","순천대학교 지능형 스마트 농업 Grand ICT 연구센터","순천대학교","10-ict-industry-convergence/125646_936024807.png"
"ICT 산업융합","125652_936024807","금오공과대학교 ICT융합 특성화 연구센터","금오공과대학교","10-ict-industry-convergence/125652_936024807.png"
"ICT 산업융합","12570_936024807","한국공학대학교 ICT융합 제조지능화진흥 연구센터","한국공학대학교","10-ict-industry-convergence/12570_936024807.png"
"ICT 산업융합","125710_936024807","숭실대학교 AI융합연구원","숭실대학교","10-ict-industry-convergence/125710_936024807.png"
"ICT 산업융합","125719_936024807","가천대학교 데이터기반 에너지시스템 혁신 연구센터","가천대학교","10-ict-industry-convergence/125719_936024807.png"
"특별전시관","134835_936024807","숭실대학교 AI보안","숭실대학교","11-special-exhibition/134835_936024807.png"
"특별전시관","134843_936024807","KAIST 국방 지능형 군집체계","KAIST","11-special-exhibition/134843_936024807.png"
